timestamp,interval,data,direction,jitter
1755183557.099864,0.009970903396606445,00DC050000,T,0.00011515617370605469
1755183557.109832,0.009968042373657227,00DC050000,T,2.86102294921875e-06
1755183557.119864,0.010031938552856445,00DC050000,T,6.389617919921875e-05
1755183557.129889,0.0100250244140625,00DC050000,T,6.9141387939453125e-06
1755183557.13995,0.010061025619506836,00DC050000,T,3.600120544433594e-05
1755183557.150032,0.010082006454467773,00DC050000,T,2.09808349609375e-05
1755183557.159858,0.009825944900512695,00DC050000,T,0.0002560615539550781
1755183557.169874,0.01001596450805664,00DC050000,T,0.0001900196075439453
1755183557.179916,0.010041952133178711,00DC050000,T,2.5987625122070312e-05
1755183557.189845,0.009929180145263672,00DC050000,T,0.00011277198791503906
1755183557.19986,0.010015010833740234,00DC050000,T,8.58306884765625e-05
1755183557.209885,0.010024785995483398,00DC050000,T,9.775161743164062e-06
1755183557.21991,0.0100250244140625,00DC050000,T,2.384185791015625e-07
1755183557.229941,0.010030984878540039,00DC050000,T,5.9604644775390625e-06
1755183557.239867,0.009926080703735352,00DC050000,T,0.0001049041748046875
1755183557.249937,0.010070085525512695,00DC050000,T,0.00014400482177734375
1755183557.259802,0.009865045547485352,00DC050000,T,0.00020503997802734375
1755183557.269877,0.010074853897094727,00DC050000,T,0.000209808349609375
1755183557.279893,0.01001596450805664,00DC050000,T,5.888938903808594e-05
1755183557.289874,0.009981155395507812,00DC050000,T,3.4809112548828125e-05
1755183557.299863,0.009989023208618164,00DC050000,T,7.867813110351562e-06
1755183557.309855,0.009991884231567383,00DC050000,T,2.86102294921875e-06
1755183557.319853,0.009998083114624023,00DC050000,T,6.198883056640625e-06
1755183557.329842,0.009989023208618164,00DC050000,T,9.059906005859375e-06
1755183557.339881,0.01003885269165039,00DC050000,T,4.982948303222656e-05
1755183557.350538,0.010657072067260742,00DC050000,T,0.0006182193756103516
1755183557.359942,0.00940394401550293,00DC050000,T,0.0012531280517578125
1755183557.369903,0.009961128234863281,00DC050000,T,0.0005571842193603516
1755183557.379817,0.009913921356201172,00DC050000,T,4.7206878662109375e-05
1755183557.389891,0.01007390022277832,00DC050000,T,0.00015997886657714844
1755183557.399884,0.00999307632446289,00DC050000,T,8.082389831542969e-05
1755183557.409924,0.010040044784545898,00DC050000,T,4.696846008300781e-05
1755183557.419811,0.009886980056762695,00DC050000,T,0.00015306472778320312
1755183557.429891,0.010080099105834961,00DC050000,T,0.00019311904907226562
1755183557.439847,0.009955883026123047,00DC050000,T,0.00012421607971191406
1755183557.449938,0.010091066360473633,00DC050000,T,0.00013518333435058594
1755183557.459847,0.009908914566040039,00DC050000,T,0.00018215179443359375
1755183557.469927,0.010080099105834961,00DC050000,T,0.00017118453979492188
1755183557.479778,0.00985097885131836,00DC050000,T,0.00022912025451660156
1755183557.489829,0.01005101203918457,00DC050000,T,0.00020003318786621094
1755183557.499945,0.010115861892700195,00DC050000,T,6.4849853515625e-05
1755183557.509828,0.00988316535949707,00DC050000,T,0.000232696533203125
1755183557.519809,0.009980916976928711,00DC050000,T,9.775161743164062e-05
1755183557.529902,0.010092973709106445,00DC050000,T,0.00011205673217773438
1755183557.539857,0.00995492935180664,00DC050000,T,0.0001380443572998047
1755183557.549833,0.00997614860534668,00DC050000,T,2.1219253540039062e-05
1755183557.559834,0.010000944137573242,00DC050000,T,2.47955322265625e-05
1755183557.569849,0.010015010833740234,00DC050000,T,1.4066696166992188e-05
1755183557.579863,0.010014057159423828,00DC050000,T,9.5367431640625e-07
1755183557.589875,0.010011911392211914,00DC050000,T,2.1457672119140625e-06
1755183557.600029,0.010154008865356445,00DC050000,T,0.00014209747314453125
1755183557.609936,0.009907007217407227,00DC050000,T,0.00024700164794921875
1755183557.619806,0.009870052337646484,00DC050000,T,3.695487976074219e-05
1755183557.629754,0.009948015213012695,00DC050000,T,7.796287536621094e-05
1755183557.639879,0.010124921798706055,00DC050000,T,0.00017690658569335938
1755183557.649874,0.009994983673095703,00DC050000,T,0.00012993812561035156
1755183557.659921,0.010046958923339844,00DC050000,T,5.1975250244140625e-05
1755183557.669799,0.009878158569335938,00DC050000,T,0.00016880035400390625
1755183557.681031,0.01123189926147461,00DC050000,T,0.0013537406921386719
1755183557.689873,0.008841991424560547,00DC050000,T,0.0023899078369140625
1755183557.699846,0.00997304916381836,00DC050000,T,0.0011310577392578125
1755183557.709884,0.010037899017333984,00DC050000,T,6.4849853515625e-05
1755183557.719836,0.009952068328857422,00DC050000,T,8.58306884765625e-05
1755183557.729817,0.009980916976928711,00DC050000,T,2.8848648071289062e-05
1755183557.739852,0.010035037994384766,00DC050000,T,5.412101745605469e-05
1755183557.74984,0.009988069534301758,00DC050000,T,4.696846008300781e-05
1755183557.759954,0.010113954544067383,00DC050000,T,0.000125885009765625
1755183557.769789,0.009835004806518555,00DC050000,T,0.0002789497375488281
1755183557.779953,0.010164022445678711,00DC050000,T,0.00032901763916015625
1755183557.789877,0.009923934936523438,00DC050000,T,0.00024008750915527344
1755183557.799872,0.009994983673095703,00DC050000,T,7.104873657226562e-05
1755183557.809931,0.010059118270874023,00DC050000,T,6.413459777832031e-05
1755183557.819833,0.009902000427246094,00DC050000,T,0.0001571178436279297
1755183557.829832,0.00999903678894043,00DC050000,T,9.703636169433594e-05
1755183557.839927,0.010094881057739258,00DC050000,T,9.584426879882812e-05
1755183557.850025,0.010097980499267578,00DC050000,T,3.0994415283203125e-06
1755183557.859929,0.009904146194458008,00DC050000,T,0.0001938343048095703
1755183557.869849,0.009919881820678711,00DC050000,T,1.5735626220703125e-05
1755183557.879923,0.010074138641357422,00DC050000,T,0.00015425682067871094
1755183557.889882,0.009958982467651367,00DC050000,T,0.00011515617370605469
1755183557.899905,0.010022878646850586,00DC050000,T,6.389617919921875e-05
1755183557.910018,0.010113000869750977,00DC050000,T,9.012222290039062e-05
1755183557.919812,0.009793996810913086,00DC050000,T,0.0003190040588378906
1755183557.929946,0.010133981704711914,00DC050000,T,0.0003399848937988281
1755183557.939833,0.009886980056762695,00DC050000,T,0.00024700164794921875
1755183557.949869,0.010035991668701172,00DC050000,T,0.00014901161193847656
1755183557.959807,0.00993800163269043,00DC050000,T,9.799003601074219e-05
1755183557.969869,0.010061979293823242,00DC050000,T,0.0001239776611328125
1755183557.979928,0.010059118270874023,00DC050000,T,2.86102294921875e-06
1755183557.98986,0.00993204116821289,00DC050000,T,0.0001270771026611328
1755183557.999811,0.009950876235961914,00DC050000,T,1.8835067749023438e-05
1755183558.009883,0.010071992874145508,00DC050000,T,0.00012111663818359375
1755183558.019948,0.010065078735351562,00DC050000,T,6.9141387939453125e-06
1755183558.030013,0.010065078735351562,00DC050000,T,0.0
1755183558.039866,0.009852886199951172,00DC050000,T,0.00021219253540039062
1755183558.049858,0.009992122650146484,00DC050000,T,0.0001392364501953125
1755183558.059943,0.010084867477416992,00DC050000,T,9.274482727050781e-05
1755183558.070024,0.010081052780151367,00DC050000,T,3.814697265625e-06
1755183558.079922,0.009897947311401367,00DC050000,T,0.00018310546875
1755183558.089944,0.01002192497253418,00DC050000,T,0.0001239776611328125
1755183558.099946,0.01000213623046875,00DC050000,T,1.9788742065429688e-05
1755183558.109865,0.009918928146362305,00DC050000,T,8.320808410644531e-05
1755183558.119938,0.010072946548461914,00DC050000,T,0.00015401840209960938
1755183558.12987,0.00993204116821289,00DC050000,T,0.00014090538024902344
1755183558.139942,0.010071992874145508,00DC050000,T,0.0001399517059326172
1755183558.149878,0.009936094284057617,00DC050000,T,0.00013589859008789062
1755183558.160218,0.010339975357055664,00DC050000,T,0.0004038810729980469
1755183558.169867,0.009649038314819336,00DC050000,T,0.0006909370422363281
1755183558.180024,0.010156869888305664,00DC050000,T,0.0005078315734863281
1755183558.189898,0.009874105453491211,00DC050000,T,0.0002827644348144531
